iter	Logloss
275	0.3069601736
276	0.3065340442
277	0.3052302591
278	0.3046367976
279	0.3037361339
280	0.3031366008
281	0.3026993809
282	0.3018045402
283	0.3006384635
284	0.2996303434
285	0.2987074322
286	0.2976864556
287	0.296427074
288	0.2955395072
289	0.294126957
290	0.2929571285
291	0.2921243853
292	0.2909463348
293	0.2898974488
294	0.2888533791
295	0.2882795127
296	0.2879556605
297	0.286828167
298	0.2859364809
299	0.2852660832
300	0.2842532478
301	0.2833240738
302	0.2829338296
303	0.2819251381
304	0.2810840316
305	0.2805727492
306	0.2799635402
307	0.2789562534
308	0.2782636978
309	0.2769199378
310	0.2759058244
311	0.2747209485
312	0.2741293174
313	0.2732048836
314	0.2726443513
315	0.2714750174
316	0.2706848225
317	0.2703096223
318	0.2693545819
319	0.2683664672
320	0.267831765
321	0.2668871367
322	0.2660149289
323	0.2650842463
324	0.2644079254
325	0.2633287577
326	0.2625650131
327	0.2617492981
328	0.2611460328
329	0.2603179977
330	0.2597348968
331	0.258865277
332	0.2577870945
333	0.2568828434
334	0.2562432874
335	0.25498307
336	0.2541535388
337	0.2532913015
338	0.252615371
339	0.2517561906
340	0.2510412235
341	0.2501555568
342	0.2495961484
343	0.2490357339
344	0.2479361978
345	0.2472861698
346	0.2466388004
347	0.2461260974
348	0.2455573473
349	0.244617781
350	0.243814817
351	0.2433571469
352	0.242651187
353	0.2421632472
354	0.2412930459
355	0.240182157
356	0.2391672989
357	0.2381970901
358	0.2375823843
359	0.2370895305
360	0.2361064557
361	0.2350125923
362	0.2341083035
363	0.2330687921
364	0.2324644101
365	0.2317560946
366	0.2311133525
367	0.2306440864
368	0.229927045
369	0.2291025267
370	0.2281432756
371	0.227096625
372	0.2265176842
373	0.226090556
374	0.225301003
375	0.2244689508
376	0.2239722643
377	0.2232691947
378	0.2228184939
379	0.2222374411
380	0.2218100278
381	0.2212083627
382	0.2204974415
383	0.219616595
384	0.2188640013
385	0.2182873458
386	0.2177002454
387	0.2169460124
388	0.2165023195
389	0.2153479618
390	0.214997973
391	0.214470573
392	0.2135999631
393	0.2125800018
394	0.2121171457
395	0.2113252634
396	0.2106166454
397	0.2101933211
398	0.2097790588
399	0.2090410912
400	0.2080405715
401	0.2076980098
402	0.2070521957
403	0.2062408866
404	0.2057928282
405	0.2052943779
406	0.2047598218
407	0.2041987972
408	0.203473034
409	0.2030439143
410	0.20227462
411	0.2018658444
412	0.2014240311
413	0.2008421356
414	0.2001585123
415	0.1997358412
416	0.1990768387
417	0.1987231185
418	0.1981846182
419	0.1975604672
420	0.1967332698
421	0.1957670426
422	0.1953101399
423	0.1948326048
424	0.1942742212
425	0.1937889372
426	0.1932042843
427	0.1928240762
428	0.1923440212
429	0.1917807918
430	0.1910888761
431	0.1903956031
432	0.1899830806
433	0.189612128
434	0.1891413372
435	0.1884312738
436	0.1874259617
437	0.1868818771
438	0.1863726097
439	0.186035826
440	0.1853484451
441	0.1848562362
442	0.1844385451
443	0.1838547021
444	0.1834805812
445	0.1831377677
446	0.182522174
447	0.1818842889
448	0.1814221657
449	0.1809835029
450	0.1803823847
451	0.1796879808
452	0.1791345568
453	0.17878368
454	0.1783363068
455	0.1776919232
456	0.177108082
457	0.1764071201
458	0.175697521
459	0.1753299085
460	0.1746805001
461	0.174329081
462	0.1737669188
463	0.1730315552
464	0.1725488698
465	0.1721125093
466	0.1717183692
467	0.1713926631
468	0.1710485897
469	0.1707025107
470	0.1702555549
471	0.1698419976
472	0.1692817983
473	0.1686232144
474	0.167994499
475	0.1675764309
476	0.1670758165
477	0.1665951392
478	0.1662418377
479	0.1658794789
480	0.1653514572
481	0.1647976736
482	0.1640716652
483	0.1636432738
484	0.1632645977
485	0.1628361268
486	0.1622455928
487	0.1619653844
488	0.1617324521
489	0.1613163047
490	0.1605656107
491	0.160122076
492	0.1598205055
493	0.1596100812
494	0.1594149956
495	0.1590007856
496	0.1588123937
497	0.1584585397
498	0.1579021399
499	0.1575586323
